skills,major,education_level,pay,location
"Apache Hadoop, Big Data, Data Engineering, Apache Spark, Machine Learning",Computer Science,No Education Listed,160000.0,California
"Data Science, Apache Spark, Machine Learning Algorithms, Machine Learning, Artificial Intelligence",Computer Science,Master's degree|Ph.D. or professional degree,,California
Machine Learning,Computer Science,Ph.D. or professional degree,,California
Machine Learning Algorithms,Computer Science,Bachelor's degree,,California
"Apache Hadoop, Big Data",Computer Science,No Education Listed,,Texas
Machine Learning,Computer Science,Ph.D. or professional degree,,New Jersey
"Apache Hadoop, MapR (Big Data), Big Data, Data Science, Metadata",Computer Science,Bachelor's degree|Master's degree,,Colorado
Metadata,Computer Science,Bachelor's degree,,Georgia
Apache Spark,Computer Science,No Education Listed,,Washington
"Metadata Repository, Metadata",Computer Science,Bachelor's degree,,Florida
Data Manipulation,Computer Science,No Education Listed,,New York
Big Data,Computer Science,Bachelor's degree,,Colorado
"Big Data, Azure Machine Learning",Computer Science,Bachelor's degree|Master's degree,,Washington
Big Data,Computer Science,Bachelor's degree,,"Washington, D.C. (District of Columbia)"
Data Science,Computer Science,Bachelor's degree|Master's degree,,Illinois
"Apache Hadoop, Big Data",Computer Science,Bachelor's degree,,New Jersey
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,125000.0,California
Big Data,Computer Science,Ph.D. or professional degree,,New York
Data Manipulation,Computer Science,Bachelor's degree,,New Jersey
Splunk,Computer Science,No Education Listed,,"Washington, D.C. (District of Columbia)"
"Big Data Analytics, Big Data",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Pennsylvania
Data Manipulation,Computer Science,Bachelor's degree|Master's degree,,Ohio
Big Data,Computer Science,Bachelor's degree,,Michigan
Machine Learning,Computer Science,Master's degree|Ph.D. or professional degree,,Pennsylvania
Data Science,Computer Science,No Education Listed,,Nebraska
"Data Science, Machine Learning",Computer Science,Bachelor's degree,,California
Data Engineering,Computer Science,No Education Listed,,Georgia
"Apache Hadoop, Apache Spark, Big Data, Machine Learning",Computer Science,No Education Listed,,Washington
Machine Learning,Computer Science,Ph.D. or professional degree,,Pennsylvania
"Apache Hadoop, Big Data, Apache Spark",Computer Science,Bachelor's degree,,California
Artificial Intelligence,Computer Science,Bachelor's degree,,Hawaii
Metadata,Computer Science,Bachelor's degree,,"Washington, D.C. (District of Columbia)"
Data Science,Computer Science,Bachelor's degree|Master's degree,,Colorado
"Machine Learning Algorithms, Machine Learning",Computer Science,Bachelor's degree,,California
Apache Hadoop,Computer Science,No Education Listed,,Wisconsin
"Apache Hadoop, Apache Spark, Data Science",Computer Science,No Education Listed,,California
Metadata Management,Computer Science,Bachelor's degree|Master's degree,,California
"Apache Hadoop, Big Data, Data Engineering, Machine Learning Algorithms",Computer Science,Bachelor's degree|Master's degree,,Washington
"Apache Hadoop, Data Science, Big Data, Apache Spark, Machine Learning",Computer Science,Master's degree,135000.0,Illinois
Data Manipulation,Computer Science,Associate degree,,Nevada
Apache Hadoop,Computer Science,Bachelor's degree,,California
Machine Learning,Computer Science,No Education Listed,,California
Splunk,Computer Science,No Education Listed,,California
"Data Science, Apache Spark, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,Washington
Machine Learning,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Washington
Metadata,Computer Science,Bachelor's degree|Master's degree,,Maryland
"Apache Hadoop, Big Data, Splunk",Computer Science,Bachelor's degree,,Georgia
Transformer (Machine Learning Model),Computer Science,Bachelor's degree,,New Jersey
"Apache Hadoop, Data Manipulation, Metadata Management, Big Data, Apache Spark, Machine Learning",Computer Science,Bachelor's degree,,Ohio
Machine Learning,Computer Science,Master's degree,,Rhode Island
Metadata,Computer Science,Master's degree,,New York
Metadata,Computer Science,High school or GED,55242.0,California
"Data Science, Data Engineering, Machine Learning",Computer Science,No Education Listed,78000.0,Florida
Splunk,Computer Science,Bachelor's degree,,Georgia
"Data Science, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,Michigan
"Machine Learning Algorithms, Machine Learning",Computer Science,Bachelor's degree,,Virginia
Metadata,Computer Science,Bachelor's degree,,New Jersey
"Big Data, Machine Learning",Computer Science,No Education Listed,,Washington
"Big Data, Apache Spark, Machine Learning Algorithms",Computer Science,Bachelor's degree,,Massachusetts
Machine Learning,Computer Science,No Education Listed,,California
"Apache Hadoop, Big Data, Apache Spark, Data Science, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,"Washington, D.C. (District of Columbia)"
Machine Learning,Computer Science,No Education Listed,50000.0,California
Big Data,Computer Science,Bachelor's degree,102500.0,Michigan
Metadata Management,Computer Science,Bachelor's degree,,North Carolina
Big Data,Computer Science,Bachelor's degree|Master's degree,,North Carolina
"Apache Hadoop, Machine Learning",Computer Science,Master's degree|Ph.D. or professional degree,,New York
Machine Learning,Computer Science,No Education Listed,,Utah
"Artificial Intelligence, Big Data Analytics, Big Data",Computer Science,No Education Listed,,Missouri
"Machine Learning, Artificial Intelligence",Computer Science,No Education Listed,,Oregon
Data Engineering,Computer Science,No Education Listed,,California
Data Manipulation,Computer Science,High school or GED,,Oklahoma
"Big Data, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,California
"Apache Hadoop, Big Data, Splunk, Data Science, Machine Learning",Computer Science,No Education Listed,,Texas
Machine Learning,Computer Science,High school or GED|Associate degree,,Iowa
"Apache Hadoop, Big Data",Computer Science,Bachelor's degree,,Texas
Machine Learning,Computer Science,Master's degree|Ph.D. or professional degree,,Arizona
Metadata,Computer Science,Bachelor's degree,,Virginia
